id,host,question_username,question_score,question_views,question_favs,answers_count,answers_max_score,answers_mean_score,question_title,question_body,answer_username,answer,answer_score,is_answer_accepted
1,3dprinting.stackexchange.com,Adam Davis,3.767809650974757,3.912607320579891,0.0,3.1880595895805834,3.749318730431847,3.4319460411998994,How to obtain high resolution prints in a shorter period of time?,"When I've printed an object I've had to choose between high resolution and quick prints.  What techniques or technologies can I use or deploy to speed up my high resolution prints?
",hroncok,"You could experiment with slicing. For example, you might not need high resolution all over the object, but you can speed up some straight parts by using greater layer high there. See a part of Slic3r manual about such thing.

It is also possible to print thicker infill every Nth layer, see Infill optimization in Slic3r.

Other slicers might have those features as well.
",3.2133663407215876,2.0769199823829045
1,3dprinting.stackexchange.com,Adam Davis,3.767809650974757,3.912607320579891,0.0,3.1880595895805834,3.749318730431847,3.4319460411998994,How to obtain high resolution prints in a shorter period of time?,"When I've printed an object I've had to choose between high resolution and quick prints.  What techniques or technologies can I use or deploy to speed up my high resolution prints?
",plaintoothpaste,"For FDM technologies in general with a single extruder, slicing modifications is your only options. However there will be a trade off between quality and speed. 
For ABS, changing to a machine with a enclosed build (such as a zortrax) chamber may help and a heated build chamber (Stratasys machine) will help the quality and reliability but not the print speed directly. As ABS has a tendency to warp vase mode is not the best idea either.

If you only need high resolution and not strength then reducing the infill percentage or even using vase mode will speed up the print. Also changing to a material that you can print at higher speeds like PLA will magnify any of the previous settings.

If you have two extruders then changing to a wider nozzle and using that for infill may speed up the print, heating and cooling time during extruder changeover may actually make it slower.

For other technologies there are lots of options digital light projection (DLP) and stereolithography (SLA) both provide significantly higher resolution then FDM, with DLP being the faster of the two, comparison. Take the review with a grain of salt though as the technologies are far from standardised, for example out DLP at work offers far higher resolution and speed then our SLA which is quite old.

Sintering or melting technologies can scan the outline every layer then perform a infill of multiple layers at once to speed up the process. 
",1.6066831703607938,0.0
4,3dprinting.stackexchange.com,Adam Davis,4.541637296610063,3.9215535641013384,2.7799718631987322,4.670422881206417,3.320478682445624,3.4319460411998994,Are there any metals that exhibit a large glass state?,"Plastic is used in 3D FDM/FFF printing partly because it had a wide temperature range for its glass state - where it can be flowed with some force, but won't flow due only to gravity.

Most metals have a very narrow, or non-existant, glass state.  They transition from solid to liquid with almost no flowable-but-not-liquid state.

Are there any metals or alloys that display a glass transition state?
",TextGeek,"I""m no expert on this, but the article at https://en.wikipedia.org/wiki/Amorphous_metal may be relevant for you.

There are some special alloys, such as gold/silicon and various titanium-based ones, that become ""bulk metal glasses"" if cooled extremely quickly (for example, by sputtering onto a spinning cold surface). The speed of cooling prevents crystal formation. Early BMGs were quite strong but brittle; improvements have reduced brittleness and required cooling speed.
",2.620387387103937,0.0
4,3dprinting.stackexchange.com,Adam Davis,4.541637296610063,3.9215535641013384,2.7799718631987322,4.670422881206417,3.320478682445624,3.4319460411998994,Are there any metals that exhibit a large glass state?,"Plastic is used in 3D FDM/FFF printing partly because it had a wide temperature range for its glass state - where it can be flowed with some force, but won't flow due only to gravity.

Most metals have a very narrow, or non-existant, glass state.  They transition from solid to liquid with almost no flowable-but-not-liquid state.

Are there any metals or alloys that display a glass transition state?
",Ryan Carlyle,"A few things are required for effective extrusion-style 3d printing materials:


It must stay where placed by the nozzle long enough to harden (or, alternately for pastes and such, have a shear-thinning or thixotropic viscous profile so it will not flow under its own weight). 
If using a filament extruder, it must have a wide range of viscosity that varies gradually over a considerable temperature range. This is necessary to develop the proper ""cap zone"" semi-melt shearing behavior that allows the incoming filament to act like a piston and generate pressure upstream of the nozzle. Pellet extruders have a similar requirement but related to screw/wall shearing rather than filament/wall shearing. If using neither filament nor pellets, such as clay printers, the material must be pumpable by a positive-displacement pump. (It is possible to pump molten metal, but the cost is quite high.)
It must form some kind of bond with previously-deposited solid material, without needing to be in a state that will rapidly flow and lose shape.
It must have some combination of low shrinkage, the ability to creep at the printer's ambient temp, and/or low stiffness that allows consecutive layers to be stacked without an unacceptable amount of warping. 


Liquid metals tend to have a conflict between ""Staying where you put it"" and ""bonding with the previous layer."" In order for deposited metal to fully bond, the interface material needs to reach the melting point so a true fusion weld occurs. And in order to supply enough heat to remelt the interface without an additional heat source like an arc, the deposited molten metal needs to be very hot. So it will tend to run while it cools. High density and high heat capacity makes it run fast and cool slowly. 

Pretty much every DIY metal 3d print (such as made by wire-feed MIG welders) ends up looking something like this:


https://3dprint.com/29944/diy-metal-printing-garage/

In comparison, polymers have long molecular chains that allow them to ""diffusion weld"" and adhere WITHOUT fully remelting the interface. Molten liquid plastic will stick to solid plastic quite effectively. The interface only needs to get hot enough for appreciable diffusion to intertwine the molecular chains. This will occur between the glass point and melting point, without true fusion occurring. So you can print molten plastic at a temperature where it will stay in place long enough to harden, and still get good bonding.

Metals also tend to be very stiff, which encourages warping. It is difficult to build a heated environment of sufficient temperature to properly stress-relieve the thermal contraction stress as the print progresses, whereas with plastic a heated build plate and warm enclosure can permit warping stresses to start relaxing as the print progresses. 

It is possible to ""FDM-style"" 3d print filament/wire made of metal alloys that have a wide range between solidus and liquidus. It has been done using solder and similar alloys. However, between the warping stresses, poor layer bonding from inadequate interface re-melting, and use of soft low-melting alloys, the resulting printed parts will usually end up being weaker than if they had simply been printed in a strong plastic. For example, PEEK is nearly as strong as aluminum, and carbon fiber or fiberglass composite plastics can exceed metals on various performance metrics. So what's the point of printing with weak, brittle metal alloys?

Over the years, lots of people have tried FDM-style metal printing, but no one has found it worthwhile to pursue in the long run. More typical DIY metal printing approaches like 3D MIG welding following by cleanup machining will produce better results.
",2.845827522384412,2.0769199823829045
2,3dprinting.stackexchange.com,kenorb,5.291027456384213,5.52632428328061,3.507933925167123,5.199501240805782,5.195138047661548,4.521992869097919,Is 3D printing safe for your health?,"I would like to buy a 3D printer, but I'm concerned about the health risks that are associated with its operation. Some groups of scientists say it can be harmful for humans.

What do I need to consider before buying a 3D printer if I care about my health? Are there any safe printers?
",Tom van der Zanden,"There is very little information about safety available, as home 3D printers are relatively new. However, plastics such as ABS have a long history in making plastic products, and a study found that at traditional manufacturing methods (such as injection molding and hot wire cutting) do not release dangerous levels of carcinogens and/or respiratory sensitizers in to the air.

Of course, 3D printers are not among the processes covered in the study. In home 3D printing circles, this study that looks at ultrafine particle (UFP) emissions, is often cited. It finds that printing ABS releases relatively high levels of UFP's and PLA releases significantly fewer (but still quite a large amount). However, it is unclear whether/how dangerous these UFP's are in the amounts emitted.

It is often suggested that PLA, partly because of the reduced UFP emissions is safer to print than ABS, partly because of its ""natural"" origins as it can be derived from materials such as cornstarch. I would caution against this line of reasoning since ""natural"" materials can still be poisonous (snake venom is natural, after all) and the cornstarch is heavily processed so it hardly resembles its original form. The lower UFP emissions may suggest it is safer, but the study is only quantitative, not qualitative.

That said, PLA does probably pose less of a risk (despite my earlier argumentation against ""natural"" materials, PLA does play quite nicely with the human body), but I contend the risk with ABS is not too large anyways, given that it has been safely used in factories for decades.

Another study is often miscited, supposedly saying that 3D printing ABS releases hydrogen cyanide. The study only looks at the thermal decomposition of ABS, which happens at significantly higher temperatures than are reached during printing (but a significantly malfunctioning printer might cause toxic gasses to be released, but I contend that at that point you should worry about your printer being on fire, rather than temporary exposure to some toxins).

There are no printers out there that are fundamentally safer than others. However, some printers have an enclosure (containing the fumes) and some even have a carbon filter and a fan for fume extraction. If you would like to err on the side of caution, this might be a good choice (but again, it is not clear if a carbon filter is totally effective).

Finally, as printers are generally quite noisy it tends to be preferrable to keep your printer in a separate room from where you usually work. In this case, fume exposure (during the few minutes that you go to check on your print) is minimal, and the potential advantages of a ""safer"" printers or using ""safer"" materials diminish.

Incidental exposure as a hobbyist is probably not a big deal; workers in factories are exposed to the fumes of melted plastic their entire lives and they don't seem to be dropping dead. On the other hand, if you are going to be printing structurally then it is probably preferable to move your printer to a separate room, if not because of health and safety because of the noise.
",4.452510692745205,2.0769199823829045
2,3dprinting.stackexchange.com,kenorb,5.291027456384213,5.52632428328061,3.507933925167123,5.199501240805782,5.195138047661548,4.521992869097919,Is 3D printing safe for your health?,"I would like to buy a 3D printer, but I'm concerned about the health risks that are associated with its operation. Some groups of scientists say it can be harmful for humans.

What do I need to consider before buying a 3D printer if I care about my health? Are there any safe printers?
",KobeJohn,"I am going to address the air issue as it is currently unresolved. the third dimension offers a great answer for common safety issues.

The short answer is that based on our limited knowledge at this point, there may be imperceptible health hazards related to FDM / FFF printers and therefore additional safety precautions are, in my opinion, necessary and not optional or secondary as suggested by some in the community.

In other words, if you can isolate your printer in a well-vented area where people rarely go, then of course it's not a health risk, but if people will be exposed to the air of the printer for any significant periods of time, you need to do something about it. This is my situation - where I live dedicated workshops and extra rooms are luxuries that most people do not have.



Realistic Chance of Being Dangerous --> Treat It As Dangerous

The key information at this point in time is the UFP (Ultra-Fine Particle) study that is linked in Tom's answer.

Leaving out the scary / detailed parts:


  Therefore, results herein suggest that caution should be used when
  operating these 3D printing instruments inside unvented or unfiltered
  indoor environments due to their large emissions of UFPs.
  
  One important limitation to this study is that we have no information
  about the chemical constituents of the UFPs emitted from either type
  of 3D printer [...]
  
  [...] there may also be
  differences in toxicity because of differences in chemical
  composition.


This means that although many processes release UFPs (the authors of the paper compare to cooking), all UFPs are not created equal. Since the UFPs from 3D printing are still an unknown, the only real answer from a safety perspective is to treat them as dangerous.



This is not legal, safety, or professional advice!

I am not qualified to give an opinion on what should be done but I will share what I would do:


Venting - Active airflow pushing the envelope of air around the print into a large, unpopulated body of air.
Enclosure + Venting - By fully enclosing your printer, it will probably keep the UFPs mostly within the enclosure. You could combine that with either continuous venting or as some have suggested purge venting before opening the enclosure.
Enclosure + Filtering - A filter can be applied both to the vent to reduce the output of UFPs (e.g. if you have no access to a safe body of air) and as a recirculating system that removes the UFPs from the body of air within the enclosure.


A note on positive vs negative pressure related to venting and filtering: if you produce positive pressure within the enclosure, you are going to be blowing all the UFPs out into your environment anyway. Negative pressure vented to a safe body of air or neutral pressure with good seals and recirculated filtering may avoid that.

A note on filters: Activated carbon filters will not remove UFPs. HEPA filters may remove 3D printing UFPs.



Which Printer?

As long as the uncertainty exists, I predict that as the market matures, filtering and enclosures will become more standard. At this point in time, the only enclosed AND HEPA filtered consumer-grade FDM printers I am aware of are the Up! Box and the Zortrax Inventure. There are a number of enclosed printers without filtering.

As an alternative, at least one company has appeared with products targeted at those who are concerned about various safety aspects of 3d printing.
",3.2133663407215876,0.0
6,3dprinting.stackexchange.com,kenorb,3.767809650974757,4.305810774244716,1.7539669625835614,5.199501240805782,3.749318730431847,3.299796711874648,Multi-color printing with desktop 3D printer?,"My MakerBot printer supports only two filaments at the same time.

What are techniques to print objects with more than two colors for one object?
",Tom van der Zanden,"The most obvious solution is to pause the print and swap filament for another color.

Another option is to splice pieces of filament together, though this does not allow very precise control of when the switch happens. There is also a device that can automatically slice filament this way.

Finally, another option that uses very little external equipment is to use (permanent) markers to colorize light-colored filament.

Other options include upgrading to a printer with more hotends, or installing a hotend with multiple filament inputs and one outputs, but these options would involve significantly changing your printer setup.
",3.2133663407215876,2.0769199823829045
6,3dprinting.stackexchange.com,kenorb,3.767809650974757,4.305810774244716,1.7539669625835614,5.199501240805782,3.749318730431847,3.299796711874648,Multi-color printing with desktop 3D printer?,"My MakerBot printer supports only two filaments at the same time.

What are techniques to print objects with more than two colors for one object?
",Tony Hansen,"Answering this question fully depends on the type of printer you have. Some printers have a pause capability, while others do not. Some have multiple extruders, while most do not. Some have a tube leading to the extruder and others do not. You specifically are asking about dealing with more than two colors when you have a dual-extruder, but the question generalizes to how to get more colors than you have extruders.

Markers probably offer the easiest solution. You could have different markers on the feeds for each extruder.

For printers with no pause ability, you might have to snip one filament and hand feed the second color after the first one until it can be caught by the feeder gear.

There are rigs that are available, or that you can make, that will let you connect two strands together lengthwise. You can then make up a single piece of filament that has multiple colors. Thus, one extruder head will be generating multiple colors.

The Kickstarter mentioned elsewhere essentially does this automatically for several strands whose lengths are calculated precisely by special software. The result is a single strand of filament that goes into one of your extruders - the other extruder would be unused with this solution.
",2.0274084334862867,0.0
11,3dprinting.stackexchange.com,kenorb,6.049731802703411,7.633809159772513,7.703979648734118,6.681864532431616,6.457297638258076,4.431549196390846,How do I give 3D-printed parts in PLA a shiny smooth finish?,"The surfaces of my printed parts using PLA plastic look rough and uneven.

Would changing filament to a better one make any difference?

If not, what kind of methods can I use to achieve a smoother finish for my for 3D-printed objects?
",TheNewHobbyist,"PLA parts can be finished with a coat of epoxy like XTC-3D from Smooth-On. This will smooth out the part and give it a pretty nice shine.

I've also had a fair amount of success sanding prints, giving them a coat of automotive filler primer, and using glossy spray paint.

You can also get great results with an acetone vapor finish if you're willing to switch to ABS. Though that will require a heated bed and can be a bit more finicky to work with than PLA.
",5.534248852833473,2.0769199823829045
11,3dprinting.stackexchange.com,kenorb,6.049731802703411,7.633809159772513,7.703979648734118,6.681864532431616,6.457297638258076,4.431549196390846,How do I give 3D-printed parts in PLA a shiny smooth finish?,"The surfaces of my printed parts using PLA plastic look rough and uneven.

Would changing filament to a better one make any difference?

If not, what kind of methods can I use to achieve a smoother finish for my for 3D-printed objects?
",Jason lapointe,"So we know what doesn't work but what does work (but not well) is alcohol! Only isopropyl alcohol 90% (and up) will work! Also at Walmart you can get stuff called Goo Gone or even better is Oops! 

What you're doing is melting the plastic chemically. Since PLA is made from corn (more or less) the same chemicals won't work on this kind of bio plastic that PLA is. ABS is an oil based product so that's why acetone works. 

I use those two mentioned products because they are made to remove glues and waxes and don't immediately evaporate so it has time to do its job and dissolve the plastic. Alcohol will evaporate, especially with less water content, and I absolutely positively don't want anyone doing this in a bedroom or kitchen especially do not do it without ventilation! The vapors are flammable and will build up fast at room temp and takes little to set off and it's just bad! 

With alcohol I dip and soak the parts till I see them looking kind of soft like having a skin or depending on the PLA used silky. I print hotter than recommended with hot bed little to no fan and more feed because what happens is it gets denser past a certain temp and will look like its messing up and not print right like its clogged or not being fed fast enough and it's true but if you increase the feed rate to say 108 or 115 it compensates for the shrinkage and you get the same fill. 

Now that being said your going to get smoother prints because it becomes like watery but with faster speed and or little fan snaps it in place but the hot bed will keep it from getting too hard for the next pass of the hot end and new layer so the next layer wont go on a cold surface and can easily get squished and fused to the last layer and now two  0.15&nbsp;mm layers act like three but denser and smoother. 

Then with the Oops! chemical or alcohol I just take what's left of the imperfections off. I take a dustless cloth and apply the solution onto it and wiping in the same direction with very little pressure till it feels like the cloth is getting stuck or its biting then I leave it alone for 15 seconds and wash it off by dunking it in a bucket of cold soapy water then rinse with fresh water and repeat if necessary. It's best if you use string to hold or suspend the parts because it's easy to leave prints behind. 

Also even better (and I don't offer this because any liquid when atomized can be flammable - besides water) is to use spray bottles instead and lightly spray the same process on and dip-and-dunk to take it off - instead of wiping and risking leaving prints with marks on the finished parts. 

There is sanding. Lots of sanding is another way to smooth parts. 

I also tried conformal coating my parts which works but gets messy when trying to apply over a pre applied coat. 

Then there's body filler or if you use paint I recommend either automotive paint with filler primer or a paint in the automotive section specifically for plastic and vinyl or heavy thick paints but not latex but lacquer paint that is heavy and fills in imperfections but lays flat when dried! There are Lexan paints for RC and model plastics but need primer.  

But your best bet is make sure that your printer is running 100&nbsp;% print in as fine detail with no bigger than 0.4&nbsp;mm nozzle and make sure your slicer profile is setup to work perfectly with how your machine works like your stepper numbers and everything because all that matters first and foremost your first layer determines the rest of the print! Level bed and clean level surface! New nozzle every few dozen prints makes a difference unless you get a high end tip! 

Keeping your Bowden tube fresh also makes a big difference! Get yourself feeler gauges and use them to level your bed instead of paper and it will be exact every time! And print the same speed and make as few adjustments as possible through the whole print and it will come out uniform. Taller prints if you need hot bed add heat as the print gets taller or nozzle temp because the print will lose heat as it gets higher up and won't print the same as the bottom layers.

I hope this helps or was the answers you were looking for! I was just passing through and hate useless answers that done have anything to do with the question asked! People like to just talk I guess.
",-1.0137042167431434,0.0
